dataset_id;Federated dataset;Title;Description;Themes;Keywords;License;Language;Timezone;Modified;Data processed;Metadata processed;Publisher;Reference;Attributions;Created;Issued;Creator;Contributor;Contact name;Contact email;Accrual periodicity;Spatial;Temporal;Granularity;Data quality;Publisher type;Cycle de publication;Périodicité de mise à jour;Number of records;Published;Statut de publication
archives-sncf-new;False;Archives SNCF - OPEN ARCHIVES;Liste des archives SNCF disponibles sous un format numérique.   Cette base de données recense des archives historiques numérisées issues de toutes les périodes de l’histoire de la SNCF depuis la création du chemin de fer en France. Différents types de documents média (JPG, WAV, PDF, ou .MP4) sont proposés au téléchargement. Leur utilisation est soumise au respect des CGU du site sncf.com;Archives et documentation;Voyageurs,Histoire,Gare de voyageurs,Archives;Open Database License (ODbL);fr;;2023-07-06;2023-07-06;2023-10-09;SNCF;;;;;;;;;;;;;;;;Irrégulière;2586;True;
attente-au-guichet;True;Attente en espace de vente;Ce jeu de données recense le nombre quotidien de personnes ayant attendu plus de 30 minutes et plus de 60 minutes dans les espaces de vente de grandes gares SNCF (Paris Gare de Lyon, Paris Gare de l’Est, Paris Gare du Nord, Paris Saint Lazare, Bordeaux, Strasbourg).  La données est issue des automates distributeurs de ticket d’attente.  Le temps d’attente à l’extérieur de l’espace de vente n’est pas mesuré actuellement. Les équipes SNCF travaillent activement à cette mesure.  Le projet étant en cours de déploiement, d’autres grandes gares Françaises vont être ajoutées à partir de mi-juillet 2020. Paris Montparnasse, qui dispose d'un outillage différent des autres gares, sera de retour fin août.  Les données sont communiquées de manière hebdomadaire (le mercredi). Nous travaillons également à un mode de fourniture temps réel.;Comptage et flux;;Open Database License (ODbL);fr;;2024-06-14;2024-06-14;2024-08-02;SNCF Voyageurs;;Logiciel QMATIC;;;;;;;;;;;;;;Hebdomadaire;45311;True;En retard
autres-charges-externes-2017-cco;True;Autres charges externes CCO du groupe SNCF Réseau depuis 2015;Autres charges externes depuis 2015 issues du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes consolidés incluant l'EPIC SNCF RESEAU et ses filiales);Réseau;SNCF RESEAU,Comptes Consolidés,Charges,Autres Charges Externes;Open Database License (ODbL);fr;;2022-03-24;2021-07-01;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;7;True;En retard
autres-charges-externes-2017-cso;True;Autres charges externes CSO de SNCF Réseau depuis 2015;Autres charges externes depuis 2015 issues du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes sociaux de l'EPIC SNCF RÉSEAU);Réseau;SNCF RESEAU,Comptes Sociaux,Autres Charges Externes;Open Database License (ODbL);fr;;2022-03-24;2021-07-01;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;7;True;En retard
avantages-au-personnel-2017-cco;True;Avantages au personnel CCO du groupe SNCF Réseau depuis 2015;Avantages au personnel depuis 2015 issus du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes consolidés incluant l'EPIC SNCF RESEAU et ses filiales);Réseau;SNCF RESEAU,Comptes Consolidés,avantages,personnel,avantages au personnel;Open Database License (ODbL);fr;;2022-03-24;2021-07-01;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;13;True;En retard
barometre-notes-dopinion-sncf-gmv;False;Baromètre notes d'opinion SNCF de janvier 2018 à décembre 2021 (GMV);Ce jeu de données recense les notes d'opinion attribuées à la SNCF pour ses services. A partir de janvier 2018, la SNCF a opté pour un nouvel outil de mesure de l’ Image afin d’en améliorer la fiabilité, la cohérence-comparabilité et l’interprétation.  Jusqu’au 31 décembre 2017, deux questionnaires différents étaient soumis chaque mois à deux échantillons différents, les Français d’une part, les clients d’autre part. L’enquête était menée par IPSOS (Institut de sondage français).  A partir du 1er janvier 2018, un questionnaire unique, online, est soumis chaque mois, à un même échantillon (1000 Français représentatifs de la population française de plus de 15 ans, dont environ 400 « clients »,personnes ayant utilisé la SNCF dans les 12 derniers mois). L’enquête est menée par l’Institut de conseil GMV.  Toute utilisation de ces données doit tenir compte de la rupture d'historique occasionnée.  Les indicateurs  Pour chaque indicateur, les résultats sont fournis pour les Français,  pour les clients (personnes ayant utilisé la SNCF dans les 12 derniers mois) et par différence pour les Non clients  1/ Réputation (ou note d’opinion globale sur 10)  Question : Quelle note d'opinion entre 0 et 10 donneriez-vous à la SNCF, en fonction de l'opinion générale que vous en avez ?   2/ Ponctualité   Question :  Parlons de la SNCF, en tant qu’opérateur de transport et de sa relation avec ses clients… - A des trains qui partent et arrivent à l'heure   3/ Prix   Question :Parlons de la SNCF, en tant qu’opérateur de transport et de sa relation avec ses clients… - Propose des produits et services qui ont un bon rapport qualité-prix   4/ Information Voyageurs :   Question : Parlons de la SNCF, en tant qu’opérateur de transport et de sa relation avec ses clients… - Informe efficacement ses clients en cas de perturbations  5/ Innovation  Question : Parlons de l’innovation et du développement à la SNCF… - Innove pour proposer des solutions de mobilité écologiques;Marque et communication externe;Image SNCF,Opinion,Baromètre d'image,Marque;Open Database License (ODbL);fr;;2023-06-08;2023-06-08;2023-06-08;SNCF;;;;;;;;;Mensuelle;;2018-01-01/2021-12-31;;;;;Irrégulière;283;True;
sncf-image-open-data-mensuel-harris;False;Baromètre notes d'opinion SNCF depuis janvier 2022 (Harris Interactive);Ce jeu de données est issu du baromètre image de la SNCF qui mesure l’opinion des Français sur la SNCF selon les 5 indicateurs suivants :  l’opinion globale, la perception de la ponctualité, du prix, de l’innovation, de l’information voyageurs et de l’engagement environnemental de la SNCF. En janvier 2022, la SNCF a fait évoluer le questionnaire et pose uniquement des questions sur une échelle sémantique. Ainsi, elle ne diffuse plus une note moyenne sur 10, mais un pourcentage d’opinions favorables. Toute utilisation de ces données doit tenir compte de la rupture d’historique occasionnée. Ce questionnaire est administré chaque mois, par mail, à 1000 Français sur la base d’un échantillon représentatif national. La SNCF a mandaté l’institut de sondage indépendant Harris Interactive pour la réalisation de ce baromètre.   Les indicateurs : Opinion globale Quelle opinion générale avez-vous de La SNCF ? Très bonne opinion / Plutôt bonne opinion / Plutôt mauvaise opinion / Très mauvaise opinion /Ne se prononce pasPourcentage donné : Très bonne opinion + plutôt bonne opinion Ponctualité Êtes-vous d’accord ou non avec la phrase… La SNCF a des trains qui partent et arrivent à l’heure  Tout à fait d’accord / Plutôt d’accord / Plutôt pas d’accord / Pas du tout d’accord / Ne se prononce pas  Pourcentage donné : Tout à fait d’accord + plutôt d’accord Prix Êtes-vous d’accord ou non avec la phrase… La SNCF propose des tarifs qui permettent à tous de voyager Tout à fait d’accord / Plutôt d’accord / Plutôt pas d’accord / Pas du tout d’accord / Ne se prononce pas Pourcentage donné : Tout à fait d’accord + plutôt d’accord Innovation Êtes-vous d’accord ou non avec la phrase… La SNCF est une entreprise innovante Tout à fait d’accord / Plutôt d’accord / Plutôt pas d’accord / Pas du tout d’accord / Ne se prononce pas Pourcentage donné : Tout à fait d’accord + plutôt d’accord Information voyageurs Êtes-vous d’accord ou non avec la phrase… La SNCF Informe bien ses clients avant, pendant et après leur voyage Tout à fait d’accord / Plutôt d’accord / Plutôt pas d’accord / Pas du tout d’accord / Ne se prononce pas Pourcentage donné : Tout à fait d’accord + plutôt d’accord Environnement Êtes-vous d’accord ou non avec la phrase… La SNCF Propose des modes de transport respectueux de l'environnement Tout à fait d’accord / Plutôt d’accord / Plutôt pas d’accord / Pas du tout d’accord / Ne se prononce pas Pourcentage donné : Tout à fait d’accord + plutôt d’accord;Marque et communication externe;Image SNCF,Baromètre d'image,Opinion,Marque;Open Data Commons Open Database License (ODbL);fr;;2023-09-25;2023-09-25;2023-09-25;SNCF;;;2022-11-16;;;;;;;;;;;;;Mensuelle;120;True;En retard
barometre-notes-dopinion-sncf;False;Baromètre notes d'opinion SNCF jusqu'au 31/12/2017 (IPSOS);Ce jeu de données recense les notes d'opinion attribuées à la SNCF pour ses services. Elles sont issues  des enquêtes menées par IPSOS (Institut de sondage français) auprès de la population nationale représentée par deux échantillons comprenant d'une part les français (volet réputation) et d'autre part les clients (volet Expérience Marque).;Marque et communication externe;Image SNCF,Opinion,Baromètre d'image,Marque;Open Database License (ODbL);fr;;2023-06-08;2023-06-08;2023-06-08;SNCF;;;;;;;;;;;2014-04-01/2017-12-31;;;;;Irrégulière;180;True;
barometre-client;False;Baromètre satisfaction client en gare;"Le baromètre de satisfaction client en gare est l’outil principal de mesure de la qualité perçue de SNCF Gares & Connexions. Les clients sont interrogés en face à face en gare et notent la gare de 0 à 10 autour des 7 promesses de service :  Promesse 1 : les informationsPromesse 2 : les déplacementsPromesse 3 : la propreté et la      sûretéPromesses 4 : le confort de l'attentePromesse 5 : les commerces et      les servicesPromesse 6 : l’architecture et les
animationsPromesse 7 : la mobilité durable     Ces mesures sont réalisées dans les 130 plus grandes gares avec une fréquence de 2 vagues annuelles en mars et en septembre.";Gares;Satisfaction client,Gare de voyageurs,Service en gare;Open Database License (ODbL);fr;;2023-06-30;;2023-06-30;Gares & Connexions;;;2015-05-12;2015-05-12;Gares & Connexions;;;;Semestriel;;;Gares de France;;;;Semestrielle;0;True;En retard
bfr-exploitation-2017-cco;True;BFR exploitation CCO du groupe SNCF Réseau depuis 2015;BFR exploitation depuis 2015 issus du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes consolidés incluant l'EPIC SNCF RESEAU et ses filiales);Réseau;SNCF RESEAU,Comptes Consolidés,BFR,Exploitation;Open Database License (ODbL);fr;;2022-03-24;2021-06-29;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;30;True;En retard
bilan-actif-2017-cco;True;Bilan actif CCO du groupe SNCF Réseau depuis 2015;Bilan actif depuis 2015 issu des Rapports Financiers du groupe SNCF Réseau au 31 décembre de chaque année (Comptes consolidés incluant l'EPIC SNCF RESEAU et ses filiales).;Réseau;SNCF RESEAU,Comptes Consolidés,Bilan,Actif;Open Database License (ODbL);fr;;2022-03-24;2021-06-29;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;14;True;En retard
bilan-actif-2017-cso;True;Bilan actif CSO de SNCF Réseau depuis 2015;Bilan actif depuis 2015 issu du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes sociaux de l'EPIC SNCF RÉSEAU);Réseau;SNCF RESEAU,Comptes Sociaux,Bilan,Actif;Open Database License (ODbL);fr;;2022-03-24;2021-07-01;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;108;True;En retard
bilan-passif-2017-cco;True;Bilan passif CCO du groupe SNCF Réseau depuis 2015;Bilan passif depuis 2015 issu des Rapports Financiers du groupe SNCF Réseau au 31 décembre de chaque année (Comptes consolidés incluant l'EPIC SNCF RESEAU et ses filiales).  Les notes 1 à 11   font partie intégrante des comptes consolidés annuels.;Réseau;SNCF RESEAU,Comptes Consolidés,Bilan,Passif;Open Database License (ODbL);fr;;2022-03-24;2021-06-29;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;21;True;En retard
bilan-passif-2017-cso;True;Bilan passif CSO de SNCF Réseau depuis 2015;Bilan passif depuis 2015 issu du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes sociaux de l'EPIC SNCF RÉSEAU);Réseau;Comptes Sociaux,SNCF RESEAU,Bilan,Passif;Open Database License (ODbL);en;;2022-03-24;2021-07-01;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;22;True;En retard
bilans-des-emissions-de-gaz-a-effet-de-serre-sncf;False;Bilans des émissions de gaz à effet de serre SNCF;"Le bilan des émissions de gaz à
effet de serre (BEGES) permet d’évaluer le volume total sur une année des
émissions et suppressions de GES induites par les activités de la SNCF et
exprimées en équivalent de tonnes de dioxyde de carbone. Les données proposées dans ce jeu de données sont celles des bilans SNCF Voyageurs, SNCF Réseau, Gares et Connexions, Fret SNCF et SNCF Holding. Les bilans portent sur les activités des entreprises du groupe sur le territoire français. Les postes d’émissions de GES
sont rassemblés par catégories selon la nouvelle nomenclature de la norme 14064-1. La norme ISO 14064-1 distingue six catégories
d’émissions : Émissions directes de GESÉmissions indirectes associées à
l’énergieÉmissions indirectes associées au
transportÉmissions indirectes associées
aux produits achetésÉmissions indirectes associées
aux produits vendusAutres émissions indirectesL'article L229-25 du Code de l'environnement stipule que
certaines organisations doivent établir régulièrement un bilan de leurs
émissions de gaz à effet de serre (GES). Ce bilan est public et doit être réalisé tous les 4 ans pour les personnes morales privées et tous les 3 ans pour les personnes morales publiques. Il doit être transmis par voie électronique sur la plateforme Bilans GES de l'ADEME (Agence de la Transition Écologique), hébergée à l’adresse suivante : https://bilans-ges.ademe.fr/. Ces bilans sont également publiquement consultables à cette adresse.      Les standards internationaux du GHG Protocol divisent les bilans d'émissions
de GES en trois catégories, appelées ""scopes"". Nous proposons également ce découpage :  le Scope 1 couvre les émissions directes,le Scope 2 couvre les émissions indirectes associées à
l'énergie,le Scope 3 couvre les autres émissions indirectes.
L’entreprise est soumise à la DPEF (Déclaration de
Performance Extra-Financière) qui intègre un plan de transition. Il est
consultable ici : https://medias.sncf.com/sncfcom/finances/Publications_Groupe/Rapport_financier_annuel_2021_groupe_SNCF.pdf  NB : Pour les Bilans 2021, Les postes 4.1 et 4.5 sont fusionnés, car réalisés avec la méthodologie BEGES v4 avec l'ancienne nomenclature qui ne distinguait pas les achats de biens et de services.";Développement durable;BEGES,CO2,Environnement,RSE,Gaz à effet de serre;Open Database License (ODbL);fr;;2023-06-08;2023-06-08;2024-03-25;SNCF;;;2023-05-23;;;;;;;;;;;;;Annuelle;105;True;En retard
capitaux-propres-tableaux-2017-cso;True;Capitaux propres tableaux CSO de SNCF Réseau depuis 2015;Capitaux propres tableaux depuis 2015 issus du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes sociaux de l'EPIC SNCF RÉSEAU);Réseau;SNCF RESEAU,Comptes Sociaux,Capitaux propres;Open Database License (ODbL);fr;;2022-03-24;2021-07-01;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;288;True;En retard
caracteristique-des-voies-et-declivite;True;Caractéristique des voies et déclivité;"Liste des caractéristiques de voies de type déclivité du réseau ferré.  Ce jeu de donnée liste les portions de voies du réseau pour lesquelles un mesure de déclivité a été réalisées.  La déclivité est exprimée dans le sens des PK croissants, en mm/m. Elle peut décrire une rampe (déclivité positive), un palier (déclivité nulle) ou une pente (déclivité négative).   Ce jeu publie les données en l’état des bases au 31/12/2021.   Les coordonnées géographiques sont une conversion des coordonnées ferroviaires en Lambert 93 et en WGS84 (EPSG:3857).  Dernière
mise à jour : 18/04/2023";Description du réseau;SNCF RESEAU,Voies,Infrastructure,Déclivité,Géolocalisation;Open Database License (ODbL);fr;Europe/Paris;2020-05-26;2023-04-28;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;98869;True;En retard
carte-restauration-intercites;True;Carte de restauration ambulante Intercités;"Ce jeu de données présente l'offre de restauration ambulante à bord des trains Intercités de jour à réservation obligatoire. Cette offre est également visualisable au format PDF : https://medias.sncf.com/sncfcom/pdf/restauration/Carte_Intercites.pdf. La carte est renouvelée trois fois par an. A bord des trains de nuit, une offre, plus limitée, est également proposée : https://medias.sncf.com/sncfcom/pdf/restauration/Carte_Intercites_nuit.pdf  Il est également possible de précommander en ligne sur le site ""Nos Territoires Gourmands"" des produits de la carte restauration sur les trains Intercités de jour et sur certains trains Intercités de nuit.";Restauration;Restauration,Bar,Menu;Open Database License (ODbL);fr;Europe/Paris;2024-06-20;2024-06-20;2024-08-02;SNCF Voyageurs;;;;;;;;;;;;;;;;Semestrielle;49;True;
menus-des-bars-tgv;True;Carte de restauration des bars TGV;Offres de restauration à bord des trains TGV (produits vendus à la carte ou en formules). La carte du bar TGV est renouvelée trois fois par an.;Restauration;menu TGV,restauration,bar,restaurant;Open Database License (ODbL);;;2024-06-20;2024-06-20;2024-08-02;SNCF Voyageurs;;;;;;;;;;;;;;;;Semestrielle;63;True;
chantiers-de-transport-combines;True;Chantiers de transport combinés;Liste des chantiers de transport combinés du Réseau Ferré National.  Les chantiers de transport combiné de SNCF Réseau sont des espaces exclusivement utilisés pour le transport rail/route, et  qui permettent de charger ou décharger les UTI par grue mobile ou portique (pas de sites SNCF Réseau sur les ports). Les plateformes routières de ces sites sont spécialement conçues pour la circulation.  Ce jeu publie les données en l’état des bases, à jour à la date de publication.;Réseau;SNCF RESEAU,Chantiers transport combiné;Open Database License (ODbL);fr;;2022-03-23;2021-06-25;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;;109;True;
charges-de-personnel-2017-cco;True;Charges de personnel CCO du groupe SNCF Réseau depuis 2015;Charges de personnel depuis 2015 issues du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes consolidés incluant l'EPIC SNCF RESEAU et ses filiales);Réseau;SNCF RESEAU,Comptes Consolidés,Charges,personnel,Charges de personnel;Open Database License (ODbL);fr;;2022-03-24;2021-07-01;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;5;True;En retard
charges-de-personnel-2017-cso;True;Charges de personnel CSO de SNCF Réseau depuis 2015;Charges de personnel depuis 2015 issues du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes sociaux de l'EPIC SNCF RÉSEAU);Réseau;SNCF RESEAU,Comptes Sociaux,Charges,personnel;Open Database License (ODbL);fr;;2022-03-24;2021-07-01;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;8;True;En retard
